DHT22_0,50,51,52,51,50,51,52,51,50,51,52,51,50,51,52,51,50,51,52,51,50,51,52,51,50,51,52,51,50,50,50,51,52,51,50,51,52,51,50,51,52,51,50,51,52,51,50,51,52,51,50,51,52,51,50,51,52,51,50,50
DHT22_0,29.2,29.2,29.3,29.2,29.2,29.2,29.3,29.2,29.2,29.2,29.3,29.2,29.2,29.2,29.3,29.2,29.2,29.2,29.3,29.2,29.2,29.2,29.3,29.2,29.2,29.2,29.3,29.2,29.2,29.2,29.2,29.2,29.3,29.2,29.2,29.2,29.3,29.2,29.2,29.2,29.3,29.2,29.2,29.2,29.3,29.2,29.2,29.2,29.3,29.2,29.2,29.2,29.3,29.2,29.2,29.2,29.3,29.2,29.2,29.2
DHT22_1,52,53,54,53,52,53,54,53,52,53,54,53,52,53,54,53,52,53,54,53,52,53,54,53,52,53,54,53,52,52,52,53,54,53,52,53,54,53,52,53,54,53,52,53,54,53,52,53,54,53,52,53,54,53,52,53,54,53,52,52
DHT22_1,29.4,29.4,29.5,29.4,29.4,29.4,29.5,29.4,29.4,29.4,29.5,29.4,29.4,29.4,29.5,29.4,29.4,29.4,29.5,29.4,29.4,29.4,29.5,29.4,29.4,29.4,29.5,29.4,29.4,29.4,29.4,29.4,29.5,29.4,29.4,29.4,29.5,29.4,29.4,29.4,29.5,29.4,29.4,29.4,29.5,29.4,29.4,29.4,29.5,29.4,29.4,29.4,29.5,29.4,29.4,29.4,29.5,29.4,29.4,29.4
PH_PROBE_0,5.8,5.81,5.79,5.82,5.8,5.83,5.82,5.83,5.82,5.8,5.81,5.8,5.81,5.79,5.82,5.8,5.83,5.82,5.83,5.82,5.8,5.81,5.8,5.81,5.79,5.82,5.8,5.83,5.82,5.83,5.8,5.81,5.79,5.82,5.8,5.83,5.82,5.83,5.82,5.8,5.81,5.8,5.81,5.79,5.82,5.8,5.83,5.82,5.83,5.82,5.8,5.81,5.8,5.81,5.79,5.82,5.8,5.83,5.82,5.83
EC_PROBE_0,0.8,0.810000000000001,0.79,0.82,0.8,0.83,0.82,0.83,0.82,0.8,0.810000000000001,0.8,0.810000000000001,0.79,0.82,0.8,0.83,0.82,0.83,0.82,0.8,0.810000000000001,0.8,0.810000000000001,0.79,0.82,0.8,0.83,0.82,0.83,0.8,0.810000000000001,0.79,0.82,0.8,0.83,0.82,0.83,0.82,0.8,0.810000000000001,0.8,0.810000000000001,0.79,0.82,0.8,0.83,0.82,0.83,0.82,0.8,0.810000000000001,0.8,0.810000000000001,0.79,0.82,0.8,0.83,0.82,0.83
DS18B20_0,27.2,27.2,27.3,27.2,27.2,27.2,27.3,27.2,27.2,27.2,27.3,27.2,27.2,27.2,27.3,27.2,27.2,27.2,27.3,27.2,27.2,27.2,27.3,27.2,27.2,27.2,27.3,27.2,27.2,27.2,27.2,27.2,27.3,27.2,27.2,27.2,27.3,27.2,27.2,27.2,27.3,27.2,27.2,27.2,27.3,27.2,27.2,27.2,27.3,27.2,27.2,27.2,27.3,27.2,27.2,27.2,27.3,27.2,27.2,27.2
PH_PROBE_1,6,6.01,5.99,6.02,6,6.03,6.02,6.03,6.02,6,6.01,6,6.01,5.99,6.02,6,6.03,6.02,6.03,6.02,6,6.01,6,6.01,5.99,6.02,6,6.03,6.02,6.03,6,6.01,5.99,6.02,6,6.03,6.02,6.03,6.02,6,6.01,6,6.01,5.99,6.02,6,6.03,6.02,6.03,6.02,6,6.01,6,6.01,5.99,6.02,6,6.03,6.02,6.03
EC_PROBE_1,0.65,0.66,0.64,0.67,0.65,0.68,0.67,0.68,0.67,0.65,0.66,0.65,0.66,0.64,0.67,0.65,0.68,0.67,0.68,0.67,0.65,0.66,0.65,0.66,0.64,0.67,0.65,0.68,0.67,0.68,0.65,0.66,0.64,0.67,0.65,0.68,0.67,0.68,0.67,0.65,0.66,0.65,0.66,0.64,0.67,0.65,0.68,0.67,0.68,0.67,0.65,0.66,0.65,0.66,0.64,0.67,0.65,0.68,0.67,0.68
DS18B20_1,27.3,27.3,27.4,27.3,27.3,27.3,27.4,27.3,27.3,27.3,27.4,27.3,27.3,27.3,27.4,27.3,27.3,27.3,27.4,27.3,27.3,27.3,27.4,27.3,27.3,27.3,27.4,27.3,27.3,27.3,27.3,27.3,27.4,27.3,27.3,27.3,27.4,27.3,27.3,27.3,27.4,27.3,27.3,27.3,27.4,27.3,27.3,27.3,27.4,27.3,27.3,27.3,27.4,27.3,27.3,27.3,27.4,27.3,27.3,27.3
